Time(sec)	lon(deg)	lon(min)	lon(sec)	lat(deg)	lat(min)	lat(sec)	H(m)
41400	-140	49	29.240939	-54	57	54.383742	20034342.198360
41700	-137	50	47.427470	-54	18	8.612797	20028003.256531
42000	-135	0	52.356605	-53	29	46.160846	20021972.054473
42300	-132	20	44.223382	-52	33	20.272923	20016260.569495
42600	-129	51	1.025700	-51	29	26.409012	20010880.159028
42900	-127	32	0.805875	-50	18	40.834271	20005841.535563
43200	-125	23	44.767859	-49	1	39.464476	20001154.742891
43500	-123	26	0.720559	-47	38	56.992809	19996829.133743
43800	-121	38	26.433828	-46	11	6.285547	19992873.348876
44100	-120	0	32.645844	-44	38	38.010880	19989295.297686
44400	-118	31	45.592896	-43	2	0.455029	19986102.140395
44700	-117	11	29.029908	-41	21	39.479201	19983300.271883
45000	-115	59	5.771481	-39	37	58.575779	19980895.307201
45300	-114	53	58.815420	-37	51	18.989476	19978892.068823
45600	-113	55	32.122306	-36	1	59.876977	19977294.575675
45900	-113	3	11.123520	-34	10	18.485610	19976106.033974
46200	-112	16	23.022402	-32	16	30.337531	19975328.829911
46500	-111	34	36.942671	-30	20	49.410455	19974964.524195
46800	-110	57	23.967529	-28	23	28.309431	19975013.848485
47100	-110	24	17.103063	-26	24	38.426603	19975476.703716
47400	-109	54	51.191264	-24	24	30.087593	19976352.160326
47700	-109	28	42.791238	-22	23	12.684280	19977638.460382
48000	-109	5	30.041938	-20	20	54.794434	19979333.021601
48300	-108	44	52.515709	-18	17	44.289111	19981432.443249
48600	-108	26	31.068931	-16	13	48.428930	19983932.513899
48900	-108	10	7.693818	-14	9	13.950445	19986828.221032
49200	-107	55	25.373833	-12	4	7.143842	19990113.762429
49500	-107	42	7.944028	-9	58	33.923163	19993782.559344
49800	-107	29	59.956797	-7	52	39.890198	19997827.271389
50100	-107	18	46.552988	-5	46	30.393102	20002239.813104
50400	-107	8	13.337916	-3	40	10.580756	20007011.372151
50700	-106	58	6.261568	-1	33	45.453791	20012132.429067
51000	-106	48	11.502143	0	32	40.086838	20017592.778530
51300	-106	38	15.351930	2	39	1.192884	20023381.552065
51600	-106	28	4.104521	4	45	13.022655	20029487.242110
51900	-106	17	23.942304	6	51	10.694866	20035897.727392
52200	-106	6	0.823195	8	56	49.241729	20042600.299514
52500	-105	53	40.365652	11	2	3.560465	20049581.690694
52800	-105	40	7.731047	13	6	48.362436	20056828.102555
53100	-105	25	7.502642	15	10	58.119032	20064325.235908
53400	-105	8	23.560624	17	14	27.003420	20072058.321424
53700	-104	49	38.952911	19	17	8.827201	20080012.151122
54000	-104	28	35.761929	21	18	56.970974	20088171.110576
54300	-104	4	54.968133	23	19	44.307761	20096519.211775
54600	-103	38	16.311948	25	19	23.118190	20105040.126529
54900	-103	8	18.156979	27	17	44.996363	20113717.220346
55200	-102	34	37.359048	29	14	40.745358	20122533.586700
55500	-101	56	49.147838	31	10	0.261469	20131472.081595
55800	-101	14	27.030966	33	3	32.406579	20140515.358354
56100	-100	27	2.734260	34	55	4.868487	20149645.902542
56400	-99	34	6.197138	36	44	24.009857	20158846.066954
56700	-98	35	5.648346	38	31	14.707559	20168098.106586
57000	-97	29	27.795027	40	15	20.185940	20177384.213511
57300	-96	16	38.166873	41	56	21.849990	20186686.551601
57600	-94	56	1.666350	43	33	59.127693	20195987.291005
57900	-93	27	3.384294	45	7	49.335215	20205268.642336
58200	-91	49	9.745069	46	37	27.583979	20214512.890493
58500	-90	1	50.043125	48	2	26.755023	20223702.428057
58800	-88	4	38.417593	49	22	17.572611	20232819.788200
59100	-85	57	16.276674	50	36	28.814884	20241847.677066
59400	-83	39	35.122145	51	44	27.702346	20250769.005550
59700	-81	11	39.632173	52	45	40.502455	20259566.920444
60000	-78	33	50.741333	53	39	33.377301	20268224.834893
60300	-75	46	48.326802	54	25	33.478332	20276726.458125
60600	-72	51	33.003075	55	3	10.256288	20285055.824405
60900	-69	49	26.492777	55	31	56.908904	20293197.321184
61200	-66	42	10.128558	55	51	31.841486	20301135.716409
61500	-63	31	41.277350	56	1	39.979562	20308856.184948
61800	-60	20	7.840126	56	2	13.762874	20316344.334122
62100	-57	9	41.382841	55	53	13.676274	20323586.228296
62400	-54	2	29.772575	55	34	48.234991	20330568.412514
62700	-51	0	30.313794	55	7	13.425668	20337277.935164
63000	-48	5	24.257463	54	30	51.688285	20343702.369628
63300	-45	18	33.236639	53	46	10.585143	20349829.834932
63600	-42	40	57.779489	52	53	41.328375	20355649.015343
63900	-40	13	17.689368	51	53	57.326591	20361149.178934
64200	-37	55	53.846044	50	47	32.874559	20366320.195072
64500	-35	48	50.895583	49	35	2.062113	20371152.550843
64800	-33	52	0.331648	48	16	57.932759	20375637.366391
65100	-32	5	3.577884	46	53	51.886809	20379766.409156
65400	-30	27	34.810970	45	26	13.301154	20383532.107022
65700	-28	59	3.383141	43	54	29.326732	20386927.560352
66000	-27	38	55.794890	42	19	4.822485	20389946.552914
66300	-26	26	37.229900	40	40	22.387825	20392583.561681
66600	-25	21	32.698960	38	58	42.461517	20394833.765518
66900	-24	23	7.854755	37	14	23.461624	20396693.052740
67200	-23	30	49.541725	35	27	41.947504	20398158.027541
67500	-22	44	6.140265	33	38	52.790287	20399226.015291
67800	-22	2	27.756208	31	48	9.342622	20399895.066703
68100	-21	25	26.297316	29	55	43.601826	20400163.960869
68400	-20	52	35.469718	28	1	46.362968	20400032.207151
68700	-20	23	30.719537	26	6	27.360172	20399500.045950
69000	-19	57	49.138586	24	9	55.395541	20398568.448329
69300	-19	35	9.347903	22	12	18.455910	20397239.114502
69600	-19	15	11.368966	20	13	43.818067	20395514.471196
69900	-18	57	36.489379	18	14	18.143372	20393397.667867
70200	-18	42	7.127584	16	14	7.562821	20390892.571792
