Obs_ID	S (m)	Sr (m)	Xs (m)	Ys (m)	Zs (m)
OBS50	20596661.789524	20596661.934164	-19155187.057433	8848556.854866	16469732.300040
OBS51	20620383.014015	20620383.014745	-19748969.600354	8743616.767367	15814073.003480
OBS52	20651159.415203	20651159.592756	-20319568.144568	8651988.381929	15128841.533775
OBS53	20689131.297954	20689131.103915	-20865634.312729	8572755.898679	14415322.621088
OBS54	20734420.348177	20734420.430452	-21385890.826414	8504930.649028	13674854.012461
OBS55	20787128.118476	20787128.207939	-21879136.252868	8447452.055939	12908822.608919
OBS56	20847334.654467	20847334.617768	-22344259.686134	8399192.052468	12118656.849124
OBS57	20915097.279299	20915097.427842	-22780233.398160	8358966.781506	11305836.104050
OBS58	20990449.551493	20990449.619545	-23186125.704214	8325531.290633	10471876.452164
OBS59	21073400.408410	21073400.317823	-23561093.251160	8297597.357440	9618335.156927
OBS60	21163933.504639	21163933.516960	-23904396.380674	8273831.536087	8746803.189430
OBS61	21262006.751265	21262006.924658	-24215395.111488	8252864.313442	7858911.386462
OBS62	21367552.058650	21367552.140680	-24493553.191483	8233293.027066	6956314.444527
OBS63	21480475.281983	21480475.220518	-24738439.864570	8213693.661380	6040696.151372
OBS64	21600656.365635	21600656.306242	-24949727.580230	8192627.936142	5113768.222875
OBS65	21727949.679246	21727949.803349	-25127204.377449	8168640.518641	4177260.930169
OBS66	21862184.535801	21862184.414164	-25270755.998438	8140279.986014	3232927.891323
OBS67	22003165.879489	22003165.804477	-25380388.511798	8106090.892729	2282532.243653
OBS68	22150675.129186	22150674.966595	-25456206.603565	8064633.121093	1327855.348502
OBS69	22304471.161851	22304471.075192	-25498430.098337	8014477.653063	370686.333985
OBS70	22464291.419042	22464291.576589	-25507383.623549	7954228.598391	-587177.854775
OBS71	22629853.119120	22629853.070705	-25483494.502081	7882509.218747	-1543939.902908
OBS72	22800854.557504	22800854.367656	-25427294.495672	7797984.976932	-2497796.767064
OBS73	22976976.477540	22976976.314318	-25339420.395129	7699367.463600	-3446955.167272
OBS74	23157883.495088	23157883.666605	-25220604.601024	7585410.289588	-4389621.308908
OBS75	23343225.560761	23343225.654696	-25071675.616170	7454928.250788	-5324016.376869
OBS76	23532639.444874	23532639.410383	-24893550.144546	7306798.152545	-6248368.681387
OBS77	23725750.231364	23725750.384673	-24687238.136938	7139958.179321	-7160929.508296
