Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
63300	2479824.041528	15597001.643465	21554274.738998	11106839.830394	-11227381.552489	21554274.738998
63600	1448467.114346	16058464.507733	21315286.258033	11852809.275443	-10930839.474049	21315286.258033
63900	414390.692299	16489761.681607	21036250.610856	12594779.835984	-10651548.283941	21036250.610856
64200	-620462.055030	16890101.955538	20717716.427821	13330967.869619	-10389697.439742	20717716.427821
64500	-1654148.857788	17258752.014922	20360304.356671	14059592.581470	-10145372.639749	20360304.356671
64800	-2684731.769940	17595037.598312	19964705.799152	14778882.848032	-9918556.070653	19964705.799152
65100	-3710280.570133	17898344.555011	19531681.539443	15487083.999367	-9709127.093387	19531681.539443
65400	-4728876.135663	18168119.801586	19062060.267307	16182464.533079	-9516863.362835	19062060.267307
65700	-5738613.784679	18403872.177113	18556736.998833	16863322.733879	-9341442.375470	18556736.998833
66000	-6737606.583209	18605173.196868	18016671.397690	17527993.173027	-9182443.437445	18016671.397690
66300	-7723988.612915	18771657.704355	17442885.999775	18174853.062482	-9039350.044063	17442885.999775
66600	-8695918.195827	18903024.421580	16836464.344155	18802328.439238	-8911552.660136	16836464.344155
66900	-9651581.072403	18999036.397554	16198549.013198	19408900.156019	-8798351.889214	16198549.013198
67200	-10589193.529310	19059521.355055	15530339.584777	19993109.655301	-8698962.018315	15530339.584777
67500	-11507005.473409	19084371.935712	14833090.499424	20553564.504474	-8612514.923417	14833090.499424
67800	-12403303.448502	19073545.843530	14108108.845327	21088943.670895	-8538064.319662	14108108.845327
68100	-13276413.591436	19027065.887006	13356752.064046	21598002.516562	-8474590.339002	13356752.064046
68400	-14124704.524232	18945019.920011	12580425.579839	22079577.493199	-8421004.416832	12580425.579839
68700	-14946590.178913	18827560.681664	11780580.355487	22532590.519648	-8376154.468012	11780580.355487
69000	-15740532.551770	18674905.535434	10958710.377551	22956053.024650	-8338830.331658	10958710.377551
69300	-16505044.383804	18487336.107747	10116350.073964	23349069.639293	-8307769.463077	10116350.073964
69600	-17238691.764111	18265197.826424	9255071.666947	23710841.524722	-8281662.850293	9255071.666947
69900	-17940096.652979	18008899.359263	8376482.464224	24040669.321991	-8259161.131796	8376482.464224
70200	-18607939.321481	17718911.953178	7482222.091581	24337955.712318	-8238880.891337	7482222.091581
70500	-19240960.704335	17395768.674290	6573959.669855	24602207.577439	-8219411.104924	6573959.669855
70800	-19837964.662812	17040063.549439	5653390.939496	24833037.751161	-8199319.714544	5653390.939496
71100	-20397820.154451	16652450.609643	4722235.335925	25030166.354731	-8177160.302601	4722235.335925
71400	-20919463.306351	16233642.836058	3782233.018957	25193421.710152	-8151478.840609	3782233.018957
71700	-21401899.388783	15784411.009069	2835141.859682	25322740.827094	-8120820.485310	2835141.859682
72000	-21844204.685869	15305582.461228	1882734.388269	25418169.460645	-8083736.395102	1882734.388269
72300	-22245528.260060	14798039.734802	926794.706245	25479861.738722	-8038790.539473	926794.706245
72600	-22605093.607150	14262719.144793	-30884.633041	25508079.359552	-7984566.474021	-30884.633041
72900	-22922200.198585	13700609.248354	-988505.771997	25503190.361284	-7919674.053660	-988505.771997
73200	-23196224.907631	13112749.221940	-1944268.720465	25465667.467371	-7842756.056652	-1944268.720465
73500	-23426623.316592	12500227.146653	-2896374.547442	25396086.013025	-7752494.692321	-2896374.547442
73800	-23612930.901269	11864178.204053	-3843028.588645	25295121.459652	-7647617.965556	-3843028.588645
74100	-23754764.089889	11205782.783134	-4782443.665572	25163546.505793	-7526905.871597	-4782443.665572
74400	-23851821.193186	10526264.500368	-5712843.311553	25002227.804713	-7389196.395054	-5712843.311553
74700	-23903883.202556	9826888.134472	-6632465.000155	24812122.300358	-7233391.287696	-6632465.000155
75000	-23910814.453234	9108957.477840	-7539563.371106	24594273.194963	-7058461.600207	-7539563.371106
75300	-23872563.149560	8373813.106712	-8432413.448780	24349805.563150	-6863452.943866	-8432413.448780
75600	-23789161.749449	7622830.072356	-9309313.848108	24079921.628835	-6647490.459011	-9309313.848108
75900	-23660727.205326	6857415.515741	-10168589.962614	23785895.722737	-6409783.468065	-10168589.962614
76200	-23487461.058911	6079006.208389	-11008597.129132	23469068.939701	-6149629.792031	-11008597.129132
76500	-23269649.387371	5289066.022296	-11827723.763591	23130843.516399	-5866419.710458	-11827723.763591
76800	-23007662.598558	4489083.332058	-12624394.462114	22772676.951284	-5559639.546203	-12624394.462114
77100	-22701955.073194	3680568.352560	-13397073.061535	22396075.889907	-5228874.857628	-13397073.061535
77400	-22353064.652134	2865050.415823	-14144265.653293	22002589.799875	-4873813.222327	-14144265.653293
77700	-21961611.967008	2044075.190863	-14864523.544555	21593804.460809	-4494246.598001	-14864523.544555
78000	-21528299.612838	1219201.850643	-15556446.160286	21171335.295652	-4090073.247733	-15556446.160286
78300	-21053911.161503	392000.190483	-16218683.879910	20736820.570613	-3661299.218583	-16218683.879910
78600	-20539310.015175	-435952.297481	-16849940.802104	20291914.491809	-3208039.364206	-16849940.802104
78900	-19985438.099249	-1263073.388933	-17448977.431206	19838280.227392	-2730517.904030	-17448977.431206
79200	-19393314.394540	-2087779.125986	-18014613.278678	19377582.884529	-2229068.513439	-18014613.278678
79500	-18764033.308972	-2908486.844421	-18545729.373030	18911482.471090	-1704133.941336	-18545729.373030
79800	-18098762.889294	-3723618.223928	-19041270.671616	18441626.872249	-1156265.153501	-19041270.671616
80100	-17398742.873815	-4531602.355527	-19500248.367721	17969644.872417	-586120.002178	-19500248.367721
80400	-16665282.587531	-5330878.820075	-19921742.086426	17497139.253054	5538.575579	-19921742.086426
80700	-15899758.681496	-6119900.771577	-20304901.962786	17025679.996832	617844.826185	-20304901.962786
81000	-15103612.718689	-6897138.018831	-20648950.595968	16556797.628462	1249832.907674	-20648950.595968
81300	-14278348.609232	-7661080.098504	-20953184.873144	16091976.722177	1900440.068868	-20953184.873144
81600	-13425529.897975	-8410239.333289	-21216977.657056	15632649.605387	2568510.268582	-21216977.657056
81900	-12546776.908450	-9143153.867431	-21439779.331407	15180190.287419	3252798.221789	-21439779.331407
82200	-11643763.747222	-9858390.672969	-21621119.198417	14735908.641506	3951973.857604	-21621119.198417
82500	-10718215.173431	-10554548.519222	-21760606.723163	14301044.867268	4664627.171916	-21760606.723163
82800	-9771903.338752	-11230260.898173	-21857932.619607	13876764.259896	5389273.455505	-21857932.619607
