Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
140400	23450456.314865	-6599296.655717	10343254.660776	-5943902.465522	-23625084.998914	10343254.660776
140700	23278155.196134	-5816089.725316	11189629.613578	-5677104.558336	-23312440.731549	11189629.613578
141000	23060862.372715	-5021639.470515	12014375.918588	-5387889.814251	-22978052.130123	12014375.918588
141300	22799041.557105	-4217490.809366	12815922.134268	-5075770.799826	-22623440.839919	12815922.134268
141600	22493242.183792	-3405204.484843	13592745.063462	-4740360.003196	-22250176.371490	13592745.063462
141900	22144097.984679	-2586353.919569	14343372.571447	-4381372.161632	-21859869.170094	14343372.571447
142200	21752325.403740	-1762522.069344	15066386.277692	-3998626.133270	-21454163.548398	15066386.277692
142500	21318721.856841	-935298.282430	15760424.117362	-3592046.306946	-21034730.514443	15760424.117362
142800	20844163.842908	-106275.171319	16424182.768981	-3161663.546193	-20603260.526982	16424182.768981
143100	20329604.912802	722954.496509	17056419.945181	-2707615.665566	-20161456.210359	17056419.945181
143400	19776073.502494	1550800.882564	17655956.543849	-2230147.439559	-19711025.060895	17655956.543849
143700	19184670.637218	2375680.130040	18221678.657462	-1729610.146447	-19253672.176499	18221678.657462
144000	18556567.513444	3196017.379460	18752539.438771	-1206460.651366	-18791093.040787	18752539.438771
144300	17893002.965556	4010249.741778	19247560.821425	-661260.034938	-18324966.392412	19247560.821425
144600	17195280.824202	4816829.223749	19705835.094512	-94671.775633	-17856947.209667	19705835.094512
144900	16464767.173348	5614225.600401	20126526.330344	492540.504097	-17388659.839579	20126526.330344
145200	15702887.512882	6400929.230502	20508871.665182	1099515.716127	-16921691.299811	20508871.665182
145500	14911123.833933	7175453.809876	20852182.432930	1725298.395920	-16457584.780689	20852182.432930
145800	14091011.613674	7936339.059034	21155845.152119	2368842.187679	-15997833.373508	21155845.152119
146100	13244136.736531	8682153.341042	21419322.366840	3029013.708795	-15543874.050096	21419322.366840
146400	12372132.348558	9411496.206117	21642153.342497	3704596.775583	-15097081.917322	21642153.342497
146700	11476675.651659	10123000.859629	21823954.617571	4394296.970992	-14658764.768839	21823954.617571
147000	10559484.644206	10815336.550488	21964420.412765	5096746.533721	-14230157.954940	21964420.412765
147300	9622314.814503	11487210.877106	22063322.899150	5810509.547086	-13812419.589910	22063322.899150
147600	8666955.793373	12137372.008400	22120512.327100	6534087.404940	-13406626.114693	22120512.327100
147900	7695227.972033	12764610.817506	22135917.018004	7265924.531028	-13013768.231122	22135917.018004
148200	6708979.091237	13367762.926114	22109543.220882	8004414.327372	-12634747.222292	22109543.220882
148500	5710080.807534	13945710.657539	22041474.836166	8747905.326552	-12270371.672042	22041474.836166
148800	4700425.242301	14497384.896844	21931873.009057	9494707.522148	-11921354.594784	21931873.009057
149100	3681921.519065	15021766.856524	21780975.594938	10243098.851128	-11588310.985227	21780975.594938
149400	2656492.294444	15517889.746421	21589096.499437	10991331.801547	-11271755.795830	21589096.499437
149700	1626070.287888	15984840.346736	21356624.895810	11737640.118640	-10972102.348096	21356624.895810
150000	592594.815219	16421760.483123	21084024.322361	12480245.582214	-10689661.182082	21084024.322361
150300	-441991.669174	16827848.403015	20771831.662679	13217364.828118	-10424639.346803	20771831.662679
150600	-1475747.016799	17202360.052467	20420656.011519	13947216.186601	-10177140.132499	20420656.011519
150900	-2506732.811643	17544610.252891	20031177.429161	14668026.510461	-9947163.244023	20031177.429161
151200	-3533017.774477	17853973.777204	19604145.587131	15378037.966062	-9734605.412968	19604145.587131
151500	-4552681.140632	18129886.324982	19140378.308157	16075514.760611	-9539261.444494	19140378.308157
151800	-5563816.007107	18371845.396326	18640760.003268	16758749.779419	-9360825.693189	18640760.003268
152100	-6564532.645024	18579411.064193	18106240.008924	17426071.107357	-9198893.960754	18106240.008924
152400	-7552961.773526	18752206.645057	17537830.827073	18075848.409245	-9052965.806697	17537830.827073
152700	-8527257.791375	18889919.267775	16936606.271039	18706499.144526	-8922447.261792	16936606.271039
153000	-9485601.962322	18992300.340749	16303699.520131	19316494.592278	-8806653.932528	16303699.520131
153300	-10426205.551252	19059165.917118	15640301.085857	19904365.663399	-8704814.483427	15640301.085857
153600	-11347312.906754	19090396.958404	14947656.692621	20468708.477627	-8616074.482683	14947656.692621
153900	-12247204.487283	19085939.496452	14227065.075804	21008189.683976	-8539500.595329	14227065.075804
154200	-13124199.827248	19045804.693907	13479875.700089	21521551.504156	-8474085.106842	13479875.700089
154500	-13976660.439732	18970068.803396	12707486.400936	22007616.479578	-8418750.758928	12707486.400936
154800	-14802992.652509	18858873.025600	11911340.952087	22465291.903657	-8372355.878092	11911340.952087
155100	-15601650.374098	18712423.266481	11092926.562021	22893573.922267	-8333699.776525	11092926.562021
155400	-16371137.786584	18530989.793919	10253771.302284	23291551.286455	-8301528.403858	10253771.302284
155700	-17110011.961966	18314906.794058	9395441.470651	23658408.742752	-8274540.227381	9395441.470651
156000	-17816885.398814	18064571.827712	8519538.892104	23993430.047743	-8251392.317487	8519538.892104
156300	-18490428.476004	17780445.187180	7627698.160663	24296000.594950	-8230706.614302	7627698.160663
156600	-19129371.820305	17463049.153905	6721583.825140	24565609.643425	-8211076.350761	6721583.825140
156900	-19732508.584607	17112967.157412	5802887.521956	24801852.138968	-8191072.606748	5802887.521956
157200	-20298696.633544	16730842.836032	4873325.058228	25004430.120283	-8169250.968391	4873325.058228
157500	-20826860.633280	16317378.999984	3934633.448388	25173153.703973	-8144158.266104	3934633.448388
157800	-21315994.042210	15873336.497402	2988567.907706	25307941.643745	-8114339.364612	2988567.907706
158100	-21765160.999314	15399532.984033	2036898.806165	25408821.460810	-8078343.977888	2036898.806165
158400	-22173498.106910	14896841.597328	1081408.586239	25475929.144019	-8034733.481701	1081408.586239
158700	-22540216.104526	14366189.535803	123888.648236	25509508.419884	-7982087.696411	123888.648236
159000	-22864601.430632	13808556.544598	-833863.793006	25509909.594260	-7919011.612549	-833863.793006
159300	-23146017.668972	13224973.308269	-1790048.876178	25477587.969057	-7844142.031847	-1790048.876178
159600	-23383906.876225	12616519.751993	-2742867.282260	25413101.839004	-7756154.096510	-2742867.282260
159900	-23577790.787790	11984323.252434	-3690523.439822	25317110.075112	-7653767.679797	-3690523.439822
160200	-23727271.898467	11329556.759717	-4631228.742521	25190369.303066	-7535753.611323	-4631228.742521
160500	-23832034.414885	10653436.832037	-5563204.774344	25033730.686441	-7400939.710956	-5563204.774344
160800	-23891845.076573	9957221.584586	-6484686.537941	24848136.326170	-7248216.605729	-6484686.537941
161100	-23906553.842501	9242208.554980	-7393925.681295	24634615.289317	-7076543.304855	-7393925.681295
161400	-23876094.440442	8509732.486463	-8289193.717745	24394279.281699	-6884952.508661	-8289193.717745
161700	-23800484.775829	7761163.032173	-9168785.234285	24128317.980454	-6672555.628135	-9168785.234285
162000	-23679827.197685	6997902.382122	-10031021.082853	23837994.044088	-6438547.492717	-10031021.082853
162300	-23514308.618828	6221382.815871	-10874251.549193	23524637.818989	-6182210.725015	-10874251.549193
162600	-23304200.487896	5433064.183678	-11696859.493697	23189641.762734	-5902919.762295	-11696859.493697
162900	-23049858.610847	4634431.319244	-12497263.458509	22834454.605859	-5600144.505797	-12497263.458509
163200	-22751722.819794	3826991.387346	-13273920.734999	22460575.274996	-5273453.580321	-13273920.734999
163500	-22410316.487237	3012271.169938	-14025330.385607	22069546.601463	-4922517.187902	-14025330.385607
163800	-22026245.883970	2191814.294510	-14750036.213910	21662948.840482	-4547109.540947	-14750036.213910
164100	-21600199.379223	1367178.408767	-15446629.676668	21242393.027237	-4147110.861787	-15446629.676668
164400	-21132946.481821	539932.305931	-16113752.731485	20809514.196883	-3722508.937289	-16113752.731485
164700	-20625336.721492	-288346.994776	-16750100.613651	20365964.496461	-3273400.218919	-16750100.613651
165000	-20078298.369732	-1116077.207644	-17354424.535665	19913406.217385	-2799990.460487	-17354424.535665
165300	-19492836.999980	-1941673.774928	-17925534.302862	19453504.777785	-2302594.887677	-17925534.302862
165600	-18870033.887244	-2763552.890902	-18462300.838577	18987921.684485	-1781637.895424	-18462300.838577
165900	-18211044.247651	-3580134.549962	-18963658.612241	18518307.504773	-1237652.271197	-18963658.612241
166200	-17517095.318847	-4389845.612962	-19428607.963828	18046294.878360	-671277.944284	-19428607.963828
166500	-16789484.282544	-5191122.885749	-19856217.318131	17573491.600058	-83260.263254	-19856217.318131
166800	-16029576.030981	-5982416.203633	-20245625.282384	17101473.803673	525552.194150	-20245625.282384
167100	-15238800.779500	-6762191.515324	-20596042.620871	16631779.277473	1154210.272277	-20596042.620871
167400	-14418651.527922	-7528933.959670	-20906754.100275	16165900.941280	1801667.341505	-20906754.100275
167700	-13570681.373858	-8281150.928347	-21177120.199671	15705280.514791	2466782.844224	-21177120.199671
168000	-12696500.681607	-9017375.107509	-21406578.679278	15251302.406168	3148326.270130	-21406578.679278
168300	-11797774.110784	-9736167.491244	-21594646.002270	14805287.849184	3844981.546046	-21594646.002270
168600	-10876217.509273	-10436120.359595	-21740918.604229	14368489.316342	4555351.823422	-21740918.604229
168900	-9933594.675816	-11115860.213653	-21845074.005077	13942085.234362	5277964.644696	-21845074.005077
169200	-8971713.997519	-11774050.660656	-21906871.758673	13527175.027273	6011277.467767	-21906871.758673
169500	-7992424.968883	-12409395.241136	-21926154.235558	13124774.511014	6753683.525974	-21926154.235558
169800	-6997614.598680	-13020640.191014	-21902847.234775	12735811.662047	7503517.999204	-21902847.234775
170100	-5989203.711911	-13606577.131018	-21836960.421025	12361122.780877	8259064.470095	-21836960.421025
170400	-4969143.154448	-14166045.676056	-21728587.583925	12001449.069691	9018561.637707	-21728587.583925
170700	-3939409.908397	-14697935.957199	-21577906.716550	11657433.641506	9780210.259611	-21577906.716550
171000	-2902003.126688	-15201191.049068	-21385179.910959	11329618.976297	10542180.292022	-21385179.910959
171300	-1858940.095795	-15674809.295544	-21150753.068911	11018444.837528	11302618.196408	-21150753.068911
171600	-812252.135874	-16117846.526942	-20875055.426510	10724246.660409	12059654.379997	-20875055.426510
171900	236019.552007	-16529418.161943	-20558598.892089	10447254.420967	12811410.736718	-20558598.892089
172200	1283828.081592	-16908701.187900	-20201977.197195	10187591.992787	13556008.254396	-20201977.197195
172500	2329125.109810	-17254936.013348	-19805864.861155	9945276.995902	14291574.653503	-19805864.861155
172800	3369865.087291	-17567428.186924	-19371015.970268	9720221.139955	15016252.022380	-19371015.970268
