time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
1390	177.0000	3.0000	57.0905	11.0000	48.0000	15.8060
1400	179.0000	34.0000	21.7317	11.0000	58.0000	17.4488
1410	182.0000	4.0000	46.3729	12.0000	8.0000	19.0915
1420	184.0000	35.0000	11.0141	12.0000	18.0000	20.7343
1430	187.0000	5.0000	35.6553	12.0000	28.0000	22.3770
1440	189.0000	36.0000	0.2965	12.0000	38.0000	24.0198
1450	192.0000	6.0000	24.9377	12.0000	48.0000	25.6625
1460	194.0000	36.0000	49.5788	12.0000	58.0000	27.3053
1470	197.0000	7.0000	14.2200	13.0000	8.0000	28.9480
1480	199.0000	37.0000	38.8612	13.0000	18.0000	30.5907
1490	202.0000	8.0000	3.5024	13.0000	28.0000	32.2335
1500	204.0000	38.0000	28.1436	13.0000	38.0000	33.8762
1510	207.0000	8.0000	52.7848	13.0000	48.0000	35.5190
1520	209.0000	39.0000	17.4259	13.0000	58.0000	37.1617
1530	212.0000	9.0000	42.0671	14.0000	8.0000	38.8045
1540	214.0000	40.0000	6.7083	14.0000	18.0000	40.4472
1550	217.0000	10.0000	31.3495	14.0000	28.0000	42.0900
1560	219.0000	40.0000	55.9907	14.0000	38.0000	43.7327
1570	222.0000	11.0000	20.6319	14.0000	48.0000	45.3755
1580	224.0000	41.0000	45.2730	14.0000	58.0000	47.0182
1590	227.0000	12.0000	9.9142	15.0000	8.0000	48.6609
1600	229.0000	42.0000	34.5554	15.0000	18.0000	50.3037
1610	232.0000	12.0000	59.1966	15.0000	28.0000	51.9464
1620	234.0000	43.0000	23.8378	15.0000	38.0000	53.5892
1630	237.0000	13.0000	48.4790	15.0000	48.0000	55.2319
1640	239.0000	44.0000	13.1202	15.0000	58.0000	56.8747
1650	242.0000	14.0000	37.7613	16.0000	8.0000	58.5174
1660	244.0000	45.0000	2.4025	16.0000	19.0000	0.1602
1670	247.0000	15.0000	27.0437	16.0000	29.0000	1.8029
1680	249.0000	45.0000	51.6849	16.0000	39.0000	3.4457
1690	252.0000	16.0000	16.3261	16.0000	49.0000	5.0884
1700	254.0000	46.0000	40.9673	16.0000	59.0000	6.7312
1710	257.0000	17.0000	5.6084	17.0000	9.0000	8.3739
1720	259.0000	47.0000	30.2496	17.0000	19.0000	10.0166
1730	262.0000	17.0000	54.8908	17.0000	29.0000	11.6594
1740	264.0000	48.0000	19.5320	17.0000	39.0000	13.3021
