Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
9300	-25999818.817125	428573.159219	4660095.908585	7165909.435002	24996479.661054	4660095.908585
9600	-25822700.182578	-237014.798362	5603558.149338	7022438.259863	24850621.352802	5603558.149338
9900	-25595387.642281	-902143.201984	6536127.837139	6861640.128991	24675000.013288	6536127.837139
10200	-25318364.777286	-1565520.755173	7456002.802813	6682482.927680	24470694.149367	7456002.802813
10500	-24992212.195760	-2225861.863010	8361408.936579	6484010.293462	24238868.413879	8361408.936579
10800	-24617606.032150	-2881889.097778	9250603.676676	6265346.522330	23980768.221248	9250603.676676
11100	-24195316.223768	-3532335.961420	10121879.407161	6025701.104614	23697714.039762	10121879.407161
11400	-23726204.659030	-4175949.057440	10973566.758018	5764372.871500	23391095.388007	10973566.758018
11700	-23211223.090852	-4811490.768599	11804037.801191	5480753.735110	23062364.564040	11804037.801191
12000	-22651410.915922	-5437741.556827	12611709.136570	5174332.007127	22713030.136924	12611709.136570
12300	-22047892.725256	-6053502.515607	13395044.862448	4844695.283003	22344650.231000	13395044.862448
12600	-21401875.812956	-6657597.354190	14152559.425385	4491532.880875	21958825.633985	14152559.425385
12900	-20714647.423620	-7248874.827860	14882820.344914	4114637.826478	21557192.760463	14882820.344914
13200	-19987571.931208	-7826210.799048	15584450.808958	3713908.377431	21141416.502695	15584450.808958
13500	-19222087.789300	-8388510.501463	16256132.136296	3289349.082446	20713183.000846	16256132.136296
13800	-18419704.526148	-8934710.278557	16896606.102853	2841071.373103	20274192.364809	16896606.102853
14100	-17581999.458340	-9463779.697087	17504677.129055	2369293.687937	19826151.379639	17504677.129055
14400	-16710614.401643	-9974723.314056	18079214.325884	1874341.130668	19370766.226411	18079214.325884
14700	-15807252.158054	-10466582.593355	18619153.397727	1356644.666394	18909735.249891	18619153.397727
15000	-14873673.130272	-10938437.357670	19123498.400493	816739.861584	18444741.803895	19123498.400493
15300	-13911691.640463	-11389407.535212	19591323.353864	255265.175590	17977447.204556	19591323.353864
15600	-12923172.308846	-11818654.594989	20021773.706934	-327040.186736	17509483.820948	20021773.706934
15900	-11910026.216777	-12225383.075779	20414067.656842	-929338.849940	17042448.331617	20414067.656842
16200	-10874207.272385	-12608841.727221	20767497.320319	-1550698.257323	16577895.174588	20767497.320319
