Pt_ID	xo (m)	yo (m)	zo (m)	lat (rad)	lon (rad)	he (m)	x (m)	y (m)	z (m)
24	-1894800.92594557070000000000	1093963.82465542710000000000	5971040.00700851440000000000	1.22173047639603060000	2.61799387799149440000	0.00000000000000000000	-1894800.92594557070000000000	1093963.82465542710000000000	5971040.00700851440000000000	
25	-1894800.92594557050000000000	-1093963.82465542760000000000	-5971040.00700851440000000000	-1.22173047639603060000	-2.61799387799149400000	0.00000000000000000000	-1894800.92594557020000000000	-1093963.82465542810000000000	-5971040.00700851440000000000	
26	-3557514.65831327900000000000	-2053932.04562321190000000000	-4862789.03759298190000000000	-0.87266462599716477000	-2.61799387799149400000	0.00000000000000000000	-3557514.65831327860000000000	-2053932.04562321280000000000	-4862789.03759298190000000000	
27	-4787610.68828722000000000000	-2764128.31965775650000000000	-3170373.73529208220000000000	-0.52359877559829870000	-2.61799387799149440000	0.00000000000000000000	-4787610.68828722090000000000	-2764128.31965775550000000000	-3170373.73529208170000000000	
28	-5440261.45378251190000000000	-3140936.41480327860000000000	-1100248.54769961860000000000	-0.17453292519943292000	-2.61799387799149440000	-0.00000000093132257462	-5440261.45378251190000000000	-3140936.41480327720000000000	-1100248.54769961820000000000	
29	-5440261.45378251190000000000	-3140936.41480327860000000000	1100248.54769961860000000000	0.17453292519943292000	-2.61799387799149440000	-0.00000000093132257462	-5440261.45378251190000000000	-3140936.41480327720000000000	1100248.54769961820000000000	
30	-4787610.68828722000000000000	-2764128.31965775650000000000	3170373.73529208220000000000	0.52359877559829870000	-2.61799387799149440000	0.00000000000000000000	-4787610.68828722090000000000	-2764128.31965775550000000000	3170373.73529208170000000000	
31	-3557514.65831327900000000000	-2053932.04562321190000000000	4862789.03759298190000000000	0.87266462599716477000	-2.61799387799149400000	0.00000000000000000000	-3557514.65831327860000000000	-2053932.04562321280000000000	4862789.03759298190000000000	
32	-1894800.92594557050000000000	-1093963.82465542760000000000	5971040.00700851440000000000	1.22173047639603060000	-2.61799387799149400000	0.00000000000000000000	-1894800.92594557020000000000	-1093963.82465542810000000000	5971040.00700851440000000000	
33	-0.00000000040191578887	-2187927.64931085470000000000	-5971040.00700851440000000000	-1.22173047639603060000	-1.57079632679489700000	0.00000000000000000000	-0.00000000083766313137	-2187927.64931085470000000000	-5971040.00700851440000000000	
