Pt_ID	xo (m)	yo (m)	zo (m)	lat (rad)	lon (rad)	he (m)	e (m)	n (m)	u (m)	Az (rad)	El (rad)	Sr (m)
16	0.00000000013397192962	2187927.64931085470000000000	5971040.00700851440000000000	1.22173047639603060000	1.57079632679489660000	0.00000000000000000000	1894800.92594557050000000000	3056442.18456527590000000000	-11596042.13010842400000000000	0.55495006000352609000	-1.27008435728328450000	12140852.62491081700000000000	
17	-1894800.92594557070000000000	1093963.82465542710000000000	-5971040.00700851440000000000	-1.22173047639603060000	2.61799387799149440000	0.00000000000000000000	1894800.92594557000000000000	-3083969.20030630330000000000	-1122472.99230523850000000000	2.59064973537828090000	-0.30070969815542736000	3789601.85189114090000000000	
18	-3557514.65831327950000000000	2053932.04562321120000000000	-4862789.03759298190000000000	-0.87266462599716477000	2.61799387799149440000	0.00000000000000000000	3557514.65831327900000000000	-3607000.09833839490000000000	-2492216.71876733280000000000	2.36310139942429000000	-0.45717111472079697000	5646016.68672971990000000000	
19	-4787610.68828722090000000000	2764128.31965775550000000000	-3170373.73529208220000000000	-0.52359877559829870000	2.61799387799149440000	0.00000000000000000000	4787610.68828721900000000000	-3695526.17209879590000000000	-4325468.32107929140000000000	2.22816274829539740000	-0.62084905306941374000	7435577.04471749160000000000	
20	-5440261.45378251280000000000	3140936.41480327770000000000	-1100248.54769961860000000000	-0.17453292519943292000	2.61799387799149440000	0.00000000000000000000	5440261.45378251090000000000	-3341585.44519698480000000000	-6399625.64267091830000000000	2.12161523196781680000	-0.78657642848962150000	9039792.38364440020000000000	
21	-5440261.45378251280000000000	3140936.41480327770000000000	1100248.54769961860000000000	0.17453292519943292000	2.61799387799149440000	0.00000000000000000000	5440261.45378251090000000000	-2588971.11324081990000000000	-8467416.52527840440000000000	2.01497133567668120000	-0.95236907326826870000	10392129.65292798000000000000	
22	-4787610.68828722090000000000	2764128.31965775550000000000	3170373.73529208220000000000	0.52359877559829870000	2.61799387799149440000	0.00000000000000000000	4787610.68828721900000000000	-1526862.81341772760000000000	-10283821.92945414400000000000	1.87951890696114580000	-1.11626990900492200000	11445939.00168622700000000000	
23	-3557514.65831327950000000000	2053932.04562321120000000000	4862789.03759298190000000000	0.87266462599716477000	2.61799387799149440000	0.00000000000000000000	3557514.65831327900000000000	-280656.49113830877000000000	-11631270.66889680000000000000	1.64952443650252210000	-1.27310532434685710000	12166393.71314568800000000000	
24	-1894800.92594557070000000000	1093963.82465542710000000000	5971040.00700851440000000000	1.22173047639603060000	2.61799387799149440000	0.00000000000000000000	1894800.92594557000000000000	1000462.71769440690000000000	-12344357.45831191500000000000	1.08499721038100700000	-1.39893083233826940000	12528940.78751438900000000000	
25	-1894800.92594557050000000000	-1093963.82465542760000000000	-5971040.00700851440000000000	-1.22173047639603060000	-2.61799387799149400000	0.00000000000000000000	-0.00000000069849193096	-4111958.93374173720000000000	-1496630.65640698470000000000	-3.14159265358979310000	-0.34906585039886612000	4375855.29862170950000000000	
26	-3557514.65831327900000000000	-2053932.04562321190000000000	-4862789.03759298190000000000	-0.87266462599716477000	-2.61799387799149400000	0.00000000000000000000	-0.00000000139698386192	-5537064.88520623180000000000	-3194702.85139256760000000000	-3.14159265358979310000	-0.52331115890088575000	6392590.54309594440000000000	
27	-4787610.68828722000000000000	-2764128.31965775650000000000	-3170373.73529208220000000000	-0.52359877559829870000	-2.61799387799149440000	0.00000000000000000000	-0.00000000139698386192	-6292957.15698653930000000000	-5270855.88513917660000000000	-3.14159265358979310000	-0.69723935455347419000	8208728.98453679030000000000	
28	-5440261.45378251190000000000	-3140936.41480327860000000000	-1100248.54769961860000000000	-0.17453292519943292000	-2.61799387799149440000	-0.00000000093132257462	-0.00000000232830643654	-6293100.21654536950000000000	-7473889.16543874700000000000	-3.14159265358979270000	-0.87095835155274381000	9770472.33212121020000000000	
